datapoints	percentage	call	xmin	xmax	xmean	bmin	bmax	bmean
7200	7.06	xtal-bio	1.47	11.89	2.28	-18.66	-4.83	-6.68
7200	1.50	bio-xtal	1.47	11.89	2.28	-18.66	-4.83	-6.68
7200	91.44	same	1.47	11.89	2.28	-18.66	-4.83	-6.68
7200	8.56	different	1.47	11.89	2.28	-18.66	-4.83	-6.68
7400	43.03	xtal-xtal	1.44	11.89	2.26	-18.66	-4.79	-6.63
7400	48.47	bio-bio	1.44	11.89	2.26	-18.66	-4.79	-6.63
7400	6.97	xtal-bio	1.44	11.89	2.26	-18.66	-4.79	-6.63
7400	1.53	bio-xtal	1.44	11.89	2.26	-18.66	-4.79	-6.63
7400	91.50	same	1.44	11.89	2.26	-18.66	-4.79	-6.63
7400	8.50	different	1.44	11.89	2.26	-18.66	-4.79	-6.63
7600	43.12	xtal-xtal	1.41	11.89	2.24	-18.66	-4.74	-6.58
7600	48.49	bio-bio	1.41	11.89	2.24	-18.66	-4.74	-6.58
7600	6.88	xtal-bio	1.41	11.89	2.24	-18.66	-4.74	-6.58
7600	1.51	bio-xtal	1.41	11.89	2.24	-18.66	-4.74	-6.58
7600	91.61	same	1.41	11.89	2.24	-18.66	-4.74	-6.58
7600	8.39	different	1.41	11.89	2.24	-18.66	-4.74	-6.58
7800	43.19	xtal-xtal	1.39	11.89	2.22	-18.66	-4.70	-6.53
7800	48.46	bio-bio	1.39	11.89	2.22	-18.66	-4.70	-6.53
7800	6.81	xtal-bio	1.39	11.89	2.22	-18.66	-4.70	-6.53
7800	1.54	bio-xtal	1.39	11.89	2.22	-18.66	-4.70	-6.53
7800	91.65	same	1.39	11.89	2.22	-18.66	-4.70	-6.53
7800	8.35	different	1.39	11.89	2.22	-18.66	-4.70	-6.53
8000	43.33	xtal-xtal	1.37	11.89	2.20	-18.66	-4.65	-6.48
8000	48.45	bio-bio	1.37	11.89	2.20	-18.66	-4.65	-6.48
8000	6.68	xtal-bio	1.37	11.89	2.20	-18.66	-4.65	-6.48
8000	1.55	bio-xtal	1.37	11.89	2.20	-18.66	-4.65	-6.48
8000	91.77	same	1.37	11.89	2.20	-18.66	-4.65	-6.48
8000	8.22	different	1.37	11.89	2.20	-18.66	-4.65	-6.48
8200	43.43	xtal-xtal	1.34	11.89	2.18	-18.66	-4.61	-6.44
8200	48.48	bio-bio	1.34	11.89	2.18	-18.66	-4.61	-6.44
8200	6.57	xtal-bio	1.34	11.89	2.18	-18.66	-4.61	-6.44
8200	1.52	bio-xtal	1.34	11.89	2.18	-18.66	-4.61	-6.44
8200	91.90	same	1.34	11.89	2.18	-18.66	-4.61	-6.44
8200	8.10	different	1.34	11.89	2.18	-18.66	-4.61	-6.44
8400	43.45	xtal-xtal	1.32	11.89	2.16	-18.66	-4.56	-6.39
8400	48.48	bio-bio	1.32	11.89	2.16	-18.66	-4.56	-6.39
8400	6.55	xtal-bio	1.32	11.89	2.16	-18.66	-4.56	-6.39
8400	1.52	bio-xtal	1.32	11.89	2.16	-18.66	-4.56	-6.39
8400	91.93	same	1.32	11.89	2.16	-18.66	-4.56	-6.39
8400	8.07	different	1.32	11.89	2.16	-18.66	-4.56	-6.39
8600	43.50	xtal-xtal	1.30	11.89	2.14	-18.66	-4.52	-6.35
8600	48.48	bio-bio	1.30	11.89	2.14	-18.66	-4.52	-6.35
8600	6.50	xtal-bio	1.30	11.89	2.14	-18.66	-4.52	-6.35
8600	1.52	bio-xtal	1.30	11.89	2.14	-18.66	-4.52	-6.35
8600	91.98	same	1.30	11.89	2.14	-18.66	-4.52	-6.35
8600	8.02	different	1.30	11.89	2.14	-18.66	-4.52	-6.35
8800	43.56	xtal-xtal	1.28	11.89	2.12	-18.66	-4.48	-6.31
8800	48.47	bio-bio	1.28	11.89	2.12	-18.66	-4.48	-6.31
8800	6.44	xtal-bio	1.28	11.89	2.12	-18.66	-4.48	-6.31
8800	1.53	bio-xtal	1.28	11.89	2.12	-18.66	-4.48	-6.31
8800	92.02	same	1.28	11.89	2.12	-18.66	-4.48	-6.31
8800	7.98	different	1.28	11.89	2.12	-18.66	-4.48	-6.31
9000	43.62	xtal-xtal	1.26	11.89	2.10	-18.66	-4.45	-6.27
9000	48.47	bio-bio	1.26	11.89	2.10	-18.66	-4.45	-6.27
9000	6.38	xtal-bio	1.26	11.89	2.10	-18.66	-4.45	-6.27
